               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.044661,            0.026096,           0.0084212,             0.60452,             0.45233,             0.52183,             0.20688,            0.053609,            0.013433,           0.0066927,            0.006436,            0.006436,            0.006436
                  38,            0.043386,            0.026386,           0.0076477,             0.64927,             0.57298,             0.60655,             0.19925,            0.052462,            0.012183,           0.0027362,            0.006337,            0.006337,            0.006337
                  39,            0.043505,            0.026353,           0.0074046,             0.75381,             0.60619,             0.68199,             0.28436,            0.046971,            0.012465,            0.001259,            0.006238,            0.006238,            0.006238
                  40,            0.043561,            0.025459,           0.0073279,             0.69962,             0.51999,             0.60686,             0.24059,            0.050338,            0.011717,           0.0030159,            0.006139,            0.006139,            0.006139
                  41,            0.043901,            0.026131,           0.0072945,             0.67167,              0.6124,             0.61232,             0.20615,            0.050495,            0.012148,           0.0014156,             0.00604,             0.00604,             0.00604
                  42,            0.044004,            0.025793,           0.0073087,             0.63716,             0.58446,             0.59399,             0.25376,            0.047167,             0.01279,           0.0027144,            0.005941,            0.005941,            0.005941
                  43,            0.043101,            0.025781,           0.0076395,             0.61112,             0.62505,             0.58879,             0.24493,            0.049929,            0.012298,           0.0045994,            0.005842,            0.005842,            0.005842
                  44,            0.042806,            0.024856,           0.0070869,             0.71493,              0.4669,             0.53196,             0.16327,            0.056032,            0.011665,           0.0049011,            0.005743,            0.005743,            0.005743
                  45,            0.042949,            0.025673,           0.0067314,             0.72256,             0.58922,             0.64612,             0.26333,            0.047605,            0.012173,            0.005259,            0.005644,            0.005644,            0.005644
                  46,            0.042569,            0.025391,           0.0061643,             0.75048,             0.57846,             0.64421,             0.25484,            0.048428,            0.011913,           0.0019998,            0.005545,            0.005545,            0.005545
